subscription_name,billing_cycle,amount_paid,usage_ratio,awareness_score,necessity_score,has_perks,waste_score,usage_frequency_answer,awareness_answer,necessity_answer
Netflix,yearly,3631.52,0.241,4,5,0,71.2,cant_remember,sometimes_notice,fun
Disney+,monthly,1507.02,0.787,1,7,0,38.9,cant_remember,sometimes_notice,fun
LinkedIn Premium,yearly,1068.77,0.603,2,4,0,42.5,few_times_month,forget,essential
Wine Club,yearly,820.81,0.181,8,8,0,56.1,few_times_month,always_notice,fun
Educational Hub,monthly,4885.62,0.086,6,4,1,67.0,few_times_week,forget,fun
Adobe CC,yearly,2473.9,0.441,1,10,1,46.5,few_times_month,sometimes_notice,essential
Cloud Storage,yearly,4746.47,0.41,5,7,0,57.2,cant_remember,forget,nice_to_have
LinkedIn Premium,monthly,1014.98,0.342,5,4,1,47.4,once_twice_week,always_notice,nice_to_have
Dating App,yearly,3443.04,0.556,1,4,1,49.8,few_times_week,sometimes_notice,fun
Zomato Gold,monthly,3701.21,0.332,8,10,1,47.1,rarely,sometimes_notice,nice_to_have
YouTube Premium,yearly,948.58,0.043,8,7,1,56.7,once_twice_week,always_notice,nice_to_have
Adobe CC,yearly,1382.63,0.452,8,3,0,47.7,once_twice_week,sometimes_notice,fun
Cloud Storage,monthly,852.36,0.701,4,9,0,33.6,few_times_month,forget,fun
Newspaper,yearly,2644.16,0.137,5,1,0,78.0,once_twice_week,always_notice,nice_to_have
Newspaper,yearly,221.42,0.658,10,9,0,21.6,daily,always_notice,essential
Disney+,yearly,616.78,0.207,5,10,1,49.5,rarely,sometimes_notice,nice_to_have
Gaming Pass,monthly,4278.2,0.801,9,6,0,28.5,once_twice_week,always_notice,nice_to_have
Software License,yearly,4179.66,0.394,9,5,0,54.3,rarely,sometimes_notice,essential
Gaming Pass,monthly,2659.66,0.535,10,10,1,29.8,once_twice_week,forget,fun
Software License,yearly,2688.62,0.143,6,1,0,75.6,cant_remember,sometimes_notice,nice_to_have
Gym Membership,monthly,1338.36,0.949,10,10,1,7.5,rarely,sometimes_notice,nice_to_have
Software License,yearly,2123.08,0.16,6,7,0,68.2,once_twice_week,forget,essential
Gaming Pass,monthly,4771.84,0.934,7,1,0,29.6,daily,always_notice,nice_to_have
Zomato Gold,monthly,4477.88,0.042,6,7,1,61.8,once_twice_week,sometimes_notice,fun
Netflix,monthly,3420.66,0.087,6,3,0,79.6,rarely,sometimes_notice,essential
Cloud Storage,monthly,991.77,0.33,2,3,1,53.3,rarely,always_notice,essential
Wine Club,monthly,3607.96,0.754,1,8,0,39.4,few_times_week,forget,essential
Newspaper,yearly,3779.19,0.088,2,7,0,84.7,few_times_week,forget,nice_to_have
Gaming Pass,yearly,1169.82,0.971,7,4,0,19.9,once_twice_week,forget,nice_to_have
Gym Membership,yearly,2452.09,0.598,4,4,1,40.2,cant_remember,forget,fun
LinkedIn Premium,monthly,3684.26,0.745,10,3,0,31.2,cant_remember,always_notice,fun
Dating App,monthly,2492.03,0.346,3,3,0,71.5,daily,sometimes_notice,nice_to_have
Gaming Pass,yearly,372.04,0.758,10,8,0,17.1,once_twice_week,forget,fun
Software License,monthly,1403.89,0.709,8,4,1,24.8,cant_remember,sometimes_notice,nice_to_have
Wine Club,monthly,3968.2,0.667,10,8,1,24.9,few_times_week,forget,fun
Netflix,monthly,2198.87,0.618,10,8,1,26.2,rarely,always_notice,fun
Dating App,monthly,453.89,0.022,7,2,0,73.9,few_times_month,sometimes_notice,essential
Gaming Pass,yearly,2834.02,0.849,10,1,0,29.8,daily,always_notice,fun
Cloud Storage,yearly,1731.98,0.912,4,5,0,28.0,daily,always_notice,nice_to_have
Disney+,monthly,2741.42,0.677,7,9,0,35.2,rarely,forget,fun
Amazon Prime,monthly,4158.74,0.717,7,8,0,36.3,daily,forget,essential
YouTube Premium,monthly,337.56,0.738,9,8,0,20.8,rarely,always_notice,nice_to_have
Educational Hub,yearly,826.56,0.251,9,5,0,53.9,few_times_week,sometimes_notice,essential
Newspaper,monthly,4261.33,0.146,1,5,0,85.0,cant_remember,always_notice,fun
LinkedIn Premium,monthly,3464.73,0.486,6,9,1,42.4,daily,forget,fun
Dating App,monthly,1864.72,0.391,5,6,1,45.1,cant_remember,always_notice,nice_to_have
Newspaper,monthly,3207.72,0.68,7,1,0,38.4,once_twice_week,always_notice,essential
Spotify,monthly,4127.88,0.554,1,7,0,58.9,once_twice_week,sometimes_notice,essential
YouTube Premium,monthly,254.55,0.566,7,3,0,38.5,once_twice_week,always_notice,nice_to_have
Spotify,yearly,390.08,0.524,9,8,1,28.0,once_twice_week,always_notice,essential
Adobe CC,yearly,810.33,0.301,7,2,0,55.7,rarely,always_notice,fun
Cloud Storage,yearly,2542.25,0.663,5,7,1,33.6,few_times_month,sometimes_notice,nice_to_have
Cloud Storage,monthly,1465.84,0.829,4,7,0,30.2,few_times_month,always_notice,essential
Dating App,yearly,1505.34,0.176,10,3,0,61.8,once_twice_week,sometimes_notice,essential
Gym Membership,yearly,3257.36,0.339,8,1,0,62.2,cant_remember,forget,fun
Amazon Prime,monthly,1782.36,0.318,3,5,0,63.2,cant_remember,sometimes_notice,fun
YouTube Premium,monthly,1471.14,0.424,1,2,0,64.2,few_times_month,sometimes_notice,essential
Spotify,monthly,1457.6,0.243,3,3,1,56.2,few_times_week,always_notice,essential
Gaming Pass,monthly,2520.05,0.023,1,7,0,87.3,few_times_week,always_notice,fun
Adobe CC,monthly,2579.21,0.916,2,4,0,34.4,rarely,forget,nice_to_have
Amazon Prime,monthly,4892.39,0.5,6,10,0,47.5,cant_remember,forget,nice_to_have
LinkedIn Premium,yearly,4001.04,0.23,6,6,1,53.8,few_times_week,always_notice,nice_to_have
Disney+,monthly,4684.56,0.567,3,7,0,52.1,daily,always_notice,essential
Netflix,monthly,2810.9,0.145,4,7,0,75.4,few_times_week,sometimes_notice,nice_to_have
Disney+,monthly,2074.02,0.501,9,5,0,46.5,cant_remember,sometimes_notice,nice_to_have
Gym Membership,yearly,3182.61,0.343,9,7,0,50.7,once_twice_week,sometimes_notice,essential
Gym Membership,monthly,1760.06,0.514,1,7,1,43.8,rarely,forget,essential
YouTube Premium,yearly,966.48,0.219,3,4,0,70.7,few_times_week,sometimes_notice,fun
LinkedIn Premium,monthly,1618.47,0.866,3,4,0,31.8,few_times_week,sometimes_notice,fun
Educational Hub,yearly,672.08,0.369,6,6,0,52.6,few_times_week,forget,fun
Software License,monthly,1444.93,0.169,4,9,0,67.8,rarely,forget,nice_to_have
Amazon Prime,yearly,339.28,0.287,8,7,1,41.1,few_times_week,always_notice,nice_to_have
Netflix,monthly,1420.21,0.269,2,9,0,67.8,rarely,always_notice,fun
Gaming Pass,yearly,4729.64,0.131,10,7,1,50.1,daily,forget,fun
Gaming Pass,yearly,967.6,0.01,4,4,0,80.6,daily,forget,fun
Amazon Prime,yearly,4638.59,0.249,4,9,1,53.0,few_times_week,sometimes_notice,fun
Gaming Pass,yearly,2875.57,0.046,7,6,0,75.0,cant_remember,sometimes_notice,essential
Zomato Gold,monthly,3249.56,0.889,3,1,0,39.3,once_twice_week,forget,fun
Zomato Gold,monthly,160.87,0.991,1,8,1,18.2,few_times_month,always_notice,nice_to_have
Adobe CC,monthly,1594.48,0.515,3,9,1,36.9,few_times_month,always_notice,fun
Spotify,yearly,2129.8,0.141,10,6,0,63.1,cant_remember,sometimes_notice,essential
Wine Club,monthly,3105.8,0.358,1,5,0,73.1,few_times_week,always_notice,essential
Cloud Storage,yearly,4891.02,0.7,4,6,1,36.9,few_times_month,sometimes_notice,fun
Gym Membership,monthly,2945.95,0.707,2,5,0,39.3,few_times_month,always_notice,nice_to_have
Cloud Storage,monthly,582.15,0.093,8,1,1,52.6,few_times_week,always_notice,nice_to_have
Educational Hub,yearly,4241.05,0.596,7,7,0,44.0,few_times_month,sometimes_notice,essential
Netflix,yearly,784.93,0.301,2,4,0,64.3,cant_remember,sometimes_notice,nice_to_have
Dating App,yearly,4994.97,0.105,9,5,1,56.0,rarely,always_notice,nice_to_have
Zomato Gold,monthly,3180.49,0.268,2,4,0,74.7,daily,sometimes_notice,fun
Netflix,monthly,1919.83,0.665,10,6,0,31.0,few_times_month,sometimes_notice,fun
Disney+,monthly,4423.94,0.625,6,10,0,41.3,daily,forget,essential
Netflix,monthly,4798.67,0.104,1,7,1,67.5,cant_remember,sometimes_notice,nice_to_have
Adobe CC,monthly,2350.93,0.172,1,7,1,62.0,once_twice_week,forget,nice_to_have
Amazon Prime,monthly,2408.81,0.642,8,10,0,34.9,few_times_month,sometimes_notice,nice_to_have
YouTube Premium,yearly,2251.72,0.729,7,9,0,30.4,few_times_month,sometimes_notice,nice_to_have
Gym Membership,monthly,2863.07,0.776,6,6,0,32.6,rarely,sometimes_notice,essential
Spotify,yearly,1059.18,0.656,4,8,0,38.6,once_twice_week,sometimes_notice,essential
Netflix,yearly,1296.11,0.302,5,8,1,46.6,cant_remember,forget,nice_to_have
Gym Membership,monthly,2952.21,0.436,1,10,1,48.6,rarely,sometimes_notice,essential
Cloud Storage,yearly,641.12,0.412,5,2,0,55.2,few_times_month,sometimes_notice,nice_to_have
Netflix,monthly,2017.91,0.694,3,4,0,37.3,once_twice_week,always_notice,nice_to_have
Newspaper,yearly,3805.55,0.508,10,7,1,32.2,rarely,forget,nice_to_have
Wine Club,monthly,4290.3,0.389,1,7,0,68.5,daily,sometimes_notice,nice_to_have
Zomato Gold,yearly,4572.96,0.426,5,5,0,58.8,few_times_month,forget,nice_to_have
Wine Club,yearly,2841.68,0.508,1,4,0,68.2,daily,forget,fun
Amazon Prime,monthly,1802.28,0.161,6,4,0,70.0,once_twice_week,forget,essential
Netflix,monthly,1645.82,0.136,5,3,0,76.5,once_twice_week,sometimes_notice,essential
Adobe CC,monthly,4870.58,0.318,10,6,1,43.5,once_twice_week,always_notice,essential
Educational Hub,monthly,1805.01,0.972,10,5,1,12.7,few_times_week,sometimes_notice,nice_to_have
Netflix,monthly,3160.72,0.255,9,2,1,52.3,cant_remember,sometimes_notice,nice_to_have
Adobe CC,monthly,1108.45,0.479,7,10,0,40.7,rarely,always_notice,essential
Spotify,monthly,3754.83,0.844,10,10,0,23.2,cant_remember,always_notice,essential
Amazon Prime,yearly,3787.38,0.554,8,7,0,44.6,daily,always_notice,essential
Educational Hub,monthly,2061.06,0.937,9,2,1,16.3,once_twice_week,sometimes_notice,essential
Software License,yearly,947.04,0.738,9,5,1,19.2,cant_remember,forget,essential
Spotify,yearly,4283.71,0.672,9,10,0,31.8,rarely,forget,nice_to_have
Gym Membership,yearly,2387.36,0.44,10,9,0,43.6,rarely,forget,fun
Disney+,yearly,4352.17,0.549,6,6,1,38.9,once_twice_week,always_notice,nice_to_have
Dating App,monthly,3477.95,0.484,7,3,0,51.3,rarely,sometimes_notice,essential
YouTube Premium,yearly,411.54,0.343,7,10,0,50.2,cant_remember,forget,nice_to_have
Newspaper,monthly,2707.66,0.019,6,6,0,78.0,daily,always_notice,nice_to_have
Software License,yearly,2640.53,0.375,2,9,0,62.8,daily,forget,nice_to_have
Dating App,monthly,2260.03,0.44,6,8,0,47.9,few_times_week,always_notice,fun
Adobe CC,monthly,4036.36,0.966,6,5,0,26.7,once_twice_week,forget,nice_to_have
Educational Hub,yearly,1964.9,0.074,8,5,0,70.9,few_times_week,always_notice,nice_to_have
Amazon Prime,monthly,340.15,0.407,9,9,0,40.7,daily,forget,nice_to_have
Amazon Prime,monthly,1111.26,0.804,7,3,0,26.6,few_times_month,always_notice,fun
YouTube Premium,monthly,3121.33,0.613,3,2,1,41.6,cant_remember,always_notice,essential
Software License,monthly,1423.18,0.674,3,1,0,38.4,few_times_month,always_notice,essential
Disney+,monthly,3299.24,0.807,1,5,0,39.8,daily,sometimes_notice,essential
Gym Membership,yearly,491.38,0.791,9,7,1,12.8,rarely,forget,fun
LinkedIn Premium,yearly,3307.19,0.423,9,4,0,54.6,few_times_month,always_notice,essential
Gym Membership,yearly,261.27,0.77,10,9,0,15.0,once_twice_week,forget,essential
Cloud Storage,monthly,2572.27,0.713,2,8,0,40.1,few_times_month,always_notice,nice_to_have
Netflix,yearly,3206.99,0.5,2,2,1,51.4,cant_remember,forget,nice_to_have
Zomato Gold,monthly,3486.14,0.088,10,3,0,71.5,few_times_week,sometimes_notice,nice_to_have
Zomato Gold,monthly,3555.59,0.1,9,5,0,69.4,few_times_week,sometimes_notice,essential
Netflix,yearly,3040.57,0.991,4,2,1,24.5,once_twice_week,sometimes_notice,fun
Spotify,yearly,2577.67,0.783,10,3,0,26.6,once_twice_week,sometimes_notice,nice_to_have
LinkedIn Premium,monthly,4958.62,0.122,9,1,0,76.0,few_times_month,sometimes_notice,fun
Cloud Storage,monthly,4093.55,0.267,9,5,1,48.7,rarely,forget,essential
YouTube Premium,monthly,4330.5,0.569,10,7,0,39.7,daily,always_notice,fun
Disney+,yearly,2224.23,0.458,5,2,1,49.7,few_times_month,sometimes_notice,fun
Newspaper,yearly,1489.84,0.07,5,2,1,59.7,few_times_week,always_notice,essential
Gaming Pass,yearly,1408.08,0.799,7,1,1,24.6,few_times_week,forget,essential
Wine Club,monthly,744.48,0.957,9,10,0,7.4,few_times_week,sometimes_notice,fun
Adobe CC,yearly,1780.38,0.087,7,4,1,58.3,rarely,forget,essential
Spotify,yearly,3751.18,0.552,3,5,1,45.1,cant_remember,sometimes_notice,essential
Gaming Pass,monthly,2494.61,0.072,1,3,0,88.1,once_twice_week,sometimes_notice,nice_to_have
Netflix,monthly,1750.68,0.137,6,7,0,68.2,cant_remember,always_notice,fun
Newspaper,monthly,3203.98,0.908,9,6,0,19.1,daily,sometimes_notice,essential
Cloud Storage,monthly,3143.1,0.09,2,4,0,84.7,daily,always_notice,fun
Disney+,monthly,4638.19,0.133,10,2,0,70.9,cant_remember,always_notice,fun
LinkedIn Premium,monthly,915.07,0.328,1,2,0,68.6,few_times_week,forget,fun
Amazon Prime,monthly,4772.74,0.587,3,1,1,46.4,cant_remember,always_notice,nice_to_have
Amazon Prime,monthly,4295.55,0.644,7,2,1,35.1,few_times_month,sometimes_notice,essential
Spotify,yearly,3439.98,0.064,4,1,1,67.9,daily,forget,essential
YouTube Premium,yearly,1718.87,0.395,5,4,0,59.7,daily,forget,fun
Netflix,monthly,1418.04,0.93,1,3,0,32.7,daily,always_notice,essential
Educational Hub,yearly,420.3,0.103,4,1,0,76.7,cant_remember,always_notice,essential
Spotify,yearly,2812.72,0.587,8,9,0,34.4,cant_remember,forget,nice_to_have
Dating App,yearly,3787.03,0.984,9,4,0,19.4,few_times_week,sometimes_notice,nice_to_have
Spotify,yearly,1996.04,0.519,4,1,0,56.7,few_times_week,always_notice,fun
Wine Club,yearly,3994.66,0.39,8,8,1,43.5,rarely,forget,nice_to_have
Netflix,monthly,708.2,0.223,10,5,1,43.8,few_times_week,always_notice,essential
Netflix,monthly,3813.91,0.438,7,7,0,53.8,cant_remember,always_notice,essential
Zomato Gold,monthly,794.3,0.043,9,1,1,57.6,few_times_month,always_notice,fun
Software License,monthly,4736.83,0.112,2,10,0,77.1,daily,always_notice,essential
Newspaper,yearly,807.36,0.569,9,10,0,30.5,daily,sometimes_notice,fun
Gaming Pass,monthly,1246.56,0.744,6,6,0,31.9,cant_remember,sometimes_notice,nice_to_have
Software License,yearly,4925.34,0.998,7,3,0,22.6,daily,sometimes_notice,essential
Educational Hub,monthly,4814.78,0.408,5,3,0,64.8,cant_remember,always_notice,essential
Zomato Gold,monthly,2467.25,0.991,4,10,0,19.8,daily,sometimes_notice,fun
Disney+,yearly,4403.45,0.789,4,9,1,29.9,cant_remember,forget,nice_to_have
Disney+,yearly,1424.31,0.666,5,10,0,37.3,rarely,forget,essential
YouTube Premium,yearly,4418.44,0.577,9,6,1,34.8,once_twice_week,forget,nice_to_have
Disney+,yearly,2495.59,0.52,9,8,0,41.1,once_twice_week,sometimes_notice,nice_to_have
Educational Hub,monthly,4608.01,0.07,10,8,1,56.8,rarely,sometimes_notice,fun
Cloud Storage,yearly,887.79,0.251,4,1,1,55.6,few_times_month,forget,nice_to_have
Netflix,yearly,243.39,0.781,7,1,0,28.8,daily,sometimes_notice,nice_to_have
YouTube Premium,yearly,3648.23,0.904,2,10,0,31.5,rarely,sometimes_notice,fun
Software License,yearly,4044.77,0.975,3,4,0,32.0,cant_remember,sometimes_notice,essential
Newspaper,monthly,2467.34,0.979,4,8,0,24.1,daily,sometimes_notice,fun
Adobe CC,yearly,2597.28,0.42,6,5,0,56.3,once_twice_week,sometimes_notice,nice_to_have
Zomato Gold,monthly,637.75,0.629,5,4,1,32.4,few_times_week,forget,fun
Cloud Storage,yearly,2963.9,0.668,8,5,1,32.1,few_times_month,sometimes_notice,fun
Gym Membership,yearly,2285.94,0.593,9,6,1,31.6,daily,sometimes_notice,nice_to_have
Spotify,monthly,4401.41,0.73,6,10,1,25.0,rarely,forget,essential
Disney+,monthly,745.81,0.824,10,9,0,15.8,once_twice_week,forget,fun
Zomato Gold,yearly,979.78,0.523,10,4,0,36.9,few_times_month,always_notice,nice_to_have
YouTube Premium,monthly,2130.56,0.994,5,6,0,21.8,rarely,always_notice,nice_to_have
Educational Hub,yearly,2864.35,0.882,7,3,0,28.4,few_times_week,always_notice,nice_to_have
Dating App,monthly,1134.4,0.761,8,10,0,23.0,daily,always_notice,essential
Cloud Storage,monthly,2178.78,0.618,6,3,0,41.6,rarely,sometimes_notice,fun
Cloud Storage,monthly,3576.23,0.659,8,2,0,39.6,few_times_month,forget,fun
Dating App,monthly,1750.68,0.527,9,10,0,37.9,rarely,sometimes_notice,nice_to_have
Gym Membership,yearly,3552.3,0.943,7,9,0,17.2,once_twice_week,always_notice,fun
YouTube Premium,yearly,1437.7,0.217,10,2,1,51.8,few_times_month,sometimes_notice,fun
Amazon Prime,yearly,4890.7,0.76,5,4,0,40.8,once_twice_week,forget,nice_to_have
Gaming Pass,yearly,4050.92,0.157,9,1,0,70.0,few_times_month,forget,essential
Dating App,yearly,2847.35,0.705,1,1,0,40.7,few_times_month,always_notice,fun
Dating App,monthly,206.73,0.373,6,9,0,49.4,once_twice_week,forget,fun
Dating App,monthly,2180.91,0.192,4,7,0,69.5,cant_remember,always_notice,nice_to_have
Gym Membership,monthly,4115.7,0.714,4,8,0,44.2,rarely,forget,fun
Wine Club,yearly,3829.78,0.97,5,8,0,24.1,cant_remember,forget,nice_to_have
Newspaper,yearly,3387.63,0.734,6,1,1,33.2,cant_remember,always_notice,fun
Gym Membership,yearly,494.58,0.408,10,7,0,42.3,rarely,always_notice,fun
Wine Club,monthly,907.58,0.645,1,1,0,37.9,once_twice_week,sometimes_notice,fun
Gaming Pass,monthly,3114.3,0.946,8,4,0,21.6,once_twice_week,sometimes_notice,nice_to_have
Amazon Prime,monthly,2072.85,0.077,9,5,1,58.1,cant_remember,sometimes_notice,nice_to_have
Educational Hub,yearly,4093.42,0.296,1,4,0,75.8,once_twice_week,forget,nice_to_have
Newspaper,monthly,4813.26,0.581,6,5,0,47.4,few_times_month,sometimes_notice,fun
Newspaper,monthly,1361.33,0.602,8,9,1,28.3,few_times_month,sometimes_notice,essential
Zomato Gold,monthly,2852.82,0.838,2,8,0,39.2,daily,always_notice,nice_to_have
Disney+,yearly,4892.26,0.787,2,4,0,40.3,rarely,always_notice,fun
Zomato Gold,yearly,4734.23,0.261,4,3,0,72.9,rarely,sometimes_notice,nice_to_have
Spotify,yearly,1629.13,0.763,6,7,0,29.0,cant_remember,always_notice,fun
Dating App,yearly,4935.03,0.193,5,8,1,52.8,rarely,always_notice,nice_to_have
Spotify,yearly,644.2,0.549,2,1,1,43.9,rarely,forget,fun
Wine Club,monthly,3192.95,0.555,9,9,1,30.6,once_twice_week,sometimes_notice,fun
Gym Membership,yearly,4472.72,0.15,4,8,1,63.5,once_twice_week,forget,essential
YouTube Premium,monthly,3560.3,0.787,9,8,0,25.5,few_times_month,always_notice,fun
YouTube Premium,monthly,2152.63,0.151,7,4,0,71.0,few_times_week,forget,essential
Wine Club,yearly,2331.47,0.171,4,4,0,73.0,rarely,sometimes_notice,fun
Dating App,monthly,1385.48,0.178,5,3,1,53.9,once_twice_week,forget,nice_to_have
Amazon Prime,yearly,4590.29,0.483,3,2,1,49.4,few_times_week,sometimes_notice,fun
Newspaper,monthly,3931.22,0.107,2,6,0,81.4,once_twice_week,always_notice,nice_to_have
Spotify,yearly,3444.89,0.392,1,9,1,52.0,once_twice_week,sometimes_notice,essential
Software License,monthly,4264.6,0.516,10,2,1,38.2,once_twice_week,always_notice,nice_to_have
Disney+,yearly,4489.82,0.217,10,4,1,51.7,daily,forget,nice_to_have
Disney+,yearly,4038.88,0.525,1,5,0,64.2,few_times_month,sometimes_notice,fun
Dating App,yearly,4576.24,0.521,8,9,0,42.7,few_times_month,sometimes_notice,fun
YouTube Premium,monthly,4427.06,0.25,4,6,0,69.6,daily,forget,fun
Dating App,yearly,3732.33,0.973,1,3,0,36.8,rarely,always_notice,nice_to_have
Educational Hub,yearly,4104.75,0.886,3,8,0,32.8,few_times_month,sometimes_notice,nice_to_have
Newspaper,yearly,2808.31,0.341,5,2,1,51.9,cant_remember,forget,essential
Wine Club,yearly,1596.1,0.309,1,9,0,65.7,cant_remember,always_notice,fun
Educational Hub,monthly,1121.49,0.348,7,5,1,41.9,rarely,sometimes_notice,fun
Wine Club,yearly,1396.05,0.366,6,8,1,43.7,few_times_month,sometimes_notice,nice_to_have
Spotify,monthly,4893.42,0.773,1,8,0,39.5,daily,forget,fun
Newspaper,yearly,286.48,0.179,3,3,0,70.2,rarely,forget,fun
Netflix,yearly,4539.63,0.063,8,5,0,75.8,few_times_week,always_notice,essential
LinkedIn Premium,yearly,4681.38,0.573,1,7,0,55.5,daily,sometimes_notice,nice_to_have
Gym Membership,monthly,946.75,0.871,6,6,1,21.0,once_twice_week,always_notice,fun
Software License,monthly,2248.25,0.635,4,2,0,41.9,few_times_week,forget,essential
YouTube Premium,monthly,4285.53,0.072,7,2,0,80.0,once_twice_week,sometimes_notice,fun
Newspaper,monthly,4050.92,0.967,8,10,0,15.3,few_times_week,always_notice,essential
Educational Hub,monthly,4880.29,0.528,1,6,0,61.7,once_twice_week,sometimes_notice,fun
Newspaper,monthly,582.27,0.381,1,10,0,57.6,once_twice_week,sometimes_notice,nice_to_have
Spotify,monthly,701.1,0.311,1,7,0,67.2,few_times_week,sometimes_notice,fun
Netflix,yearly,4757.4,0.166,9,1,0,73.8,cant_remember,sometimes_notice,nice_to_have
Cloud Storage,monthly,1606.27,0.01,9,6,0,71.6,cant_remember,forget,essential
Gym Membership,monthly,1361.73,0.964,5,9,1,13.6,cant_remember,forget,essential
Cloud Storage,yearly,4179.89,0.863,4,1,0,36.7,rarely,always_notice,essential
Dating App,yearly,1396.24,0.875,4,3,0,30.7,rarely,forget,fun
Zomato Gold,monthly,1795.98,0.894,1,5,0,34.7,cant_remember,forget,nice_to_have
LinkedIn Premium,yearly,1059.7,0.255,1,7,0,68.6,daily,always_notice,nice_to_have
Gym Membership,yearly,1941.17,0.978,8,9,0,10.3,rarely,always_notice,nice_to_have
Netflix,yearly,3532.94,0.375,10,1,0,54.7,few_times_week,forget,nice_to_have
Amazon Prime,yearly,173.03,0.549,9,9,1,27.5,rarely,always_notice,essential
Software License,monthly,2992.58,0.684,3,1,0,41.9,once_twice_week,always_notice,essential
Amazon Prime,yearly,709.61,0.126,10,1,1,51.5,cant_remember,always_notice,essential
Amazon Prime,monthly,4013.05,0.167,4,2,0,81.0,once_twice_week,sometimes_notice,fun
Disney+,monthly,4570.4,0.613,1,2,0,39.0,rarely,always_notice,nice_to_have
Adobe CC,yearly,1377.16,0.82,7,1,0,31.2,rarely,always_notice,essential
Software License,monthly,2158.02,1.0,2,5,0,26.9,few_times_month,always_notice,fun
Gym Membership,yearly,2848.15,0.163,7,3,0,73.1,once_twice_week,forget,essential
Newspaper,yearly,4982.64,0.253,3,3,0,73.8,daily,sometimes_notice,fun
LinkedIn Premium,yearly,688.23,0.645,5,1,1,36.0,rarely,always_notice,nice_to_have
Gaming Pass,monthly,2409.73,0.464,8,5,0,49.8,rarely,sometimes_notice,nice_to_have
